case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,pred_hallucinated_exp17,safe_to_emit_exp17,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,protected_number,protected_unit,protected_entity,protected_literal_drift,content_clamp_flag,relation_clamp,relation_supported_geometry_override,negated_positive_support_clamp,overclaim_flag,final_geometric_block,final_literal_block,geometry_override,exact_reference_member,num_relations_extracted,all_relations_supported,novel_numbers,novel_units,novel_entities,novel_content
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,3,The Sun orbits Mercury.,1,0,1,0.1630483865737915,0.6711928546458681,0.36935582756996155,0.1006123423586355,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
electric_circuit_mixed,Check simple circuit relations.,1,3,An insulator improves current flow like a wire.,1,0,1,0.5591281056404114,1.3783669471770723,0.7090704143047333,0.22309884429077967,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"improv,like,wire"
biology_relations_all_bad,Block wrong cell-biology relations.,0,0,Chlorophyll contains chloroplasts.,1,0,1,0.5994758605957031,1.1660972833663423,0.9122217297554016,0.08462518453698023,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,chlorophyll,
biology_relations_all_bad,Block wrong cell-biology relations.,0,1,ATP produces mitochondria.,1,0,1,0.46768292784690857,1.1660972833663423,0.9122217297554016,0.08462518453698023,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,produc
biology_relations_all_bad,Block wrong cell-biology relations.,0,2,DNA contains the nucleus.,1,0,1,0.4240170419216156,1.1660972833663423,0.9122217297554016,0.08462518453698023,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,
biology_relations_all_bad,Block wrong cell-biology relations.,0,4,Mitochondria contain keyboards.,1,0,1,0.6874826550483704,1.1660972833663423,0.9122217297554016,0.08462518453698023,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,keyboard
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,0,Magna Carta was signed in 1066.,1,0,1,0.48201465606689453,1.1235299706489046,1.1022899150848389,0.007080018521355225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,1,The Battle of Hastings occurred in 1215.,1,0,1,0.5897336602210999,1.1235299706489046,1.1022899150848389,0.007080018521355225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,2,The Declaration of Independence was adopted in 1969.,1,0,1,0.6829639077186584,1.1235299706489046,1.1022899150848389,0.007080018521355225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,3,Apollo 11 landed on the Moon in 1776.,1,0,1,0.5460644960403442,1.1235299706489046,1.1022899150848389,0.007080018521355225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
historical_date_all_bad,Block wrong historical date relations against the supplied reference box.,0,4,Magna Carta was signed in 1969.,1,0,1,0.5672823786735535,1.1235299706489046,1.1022899150848389,0.007080018521355225,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
