scenario,text,label_incompatible,token_rank,token,token_shock
capital_france,The capital of France is Paris.,0,1,The,0.0
capital_france,The capital of France is Paris.,0,2,capital,0.0
capital_france,The capital of France is Paris.,0,3,of,0.0
capital_france,The capital of France is Paris.,0,4,France,0.0
capital_france,The capital of France is Paris.,0,5,is,0.0
capital_france,The capital of France is Paris.,0,6,Paris.,0.0
capital_france,Paris is the capital city of France.,0,1,city,0.0848037600517273
capital_france,Paris is the capital city of France.,0,2,of,0.0020960867404937744
capital_france,Paris is the capital city of France.,0,3,Paris,0.0
capital_france,Paris is the capital city of France.,0,4,is,0.0
capital_france,Paris is the capital city of France.,0,5,the,0.0
capital_france,Paris is the capital city of France.,0,6,capital,0.0
capital_france,Paris is the capital city of France.,0,7,France.,0.0
capital_france,France's capital is Paris.,0,1,France's,0.0
capital_france,France's capital is Paris.,0,2,capital,0.0
capital_france,France's capital is Paris.,0,3,is,0.0
capital_france,France's capital is Paris.,0,4,Paris.,0.0
capital_france,The capital of France is London.,1,1,London.,0.17374438047409058
capital_france,The capital of France is London.,1,2,The,0.0
capital_france,The capital of France is London.,1,3,capital,0.0
capital_france,The capital of France is London.,1,4,of,0.0
capital_france,The capital of France is London.,1,5,France,0.0
capital_france,The capital of France is London.,1,6,is,0.0
capital_france,The capital of France is Lyon.,1,1,Lyon.,0.3135165572166443
capital_france,The capital of France is Lyon.,1,2,of,0.011385679244995117
capital_france,The capital of France is Lyon.,1,3,The,0.0
capital_france,The capital of France is Lyon.,1,4,capital,0.0
capital_france,The capital of France is Lyon.,1,5,France,0.0
capital_france,The capital of France is Lyon.,1,6,is,0.0
capital_france,The capital of France is Marseille.,1,1,Marseille.,0.2326679229736328
capital_france,The capital of France is Marseille.,1,2,The,0.0003267526626586914
capital_france,The capital of France is Marseille.,1,3,capital,0.0
capital_france,The capital of France is Marseille.,1,4,of,0.0
capital_france,The capital of France is Marseille.,1,5,France,0.0
capital_france,The capital of France is Marseille.,1,6,is,0.0
capital_france,The capital of France is Berlin.,1,1,Berlin.,0.30855894088745117
capital_france,The capital of France is Berlin.,1,2,of,0.0037477612495422363
capital_france,The capital of France is Berlin.,1,3,The,0.0
capital_france,The capital of France is Berlin.,1,4,capital,0.0
capital_france,The capital of France is Berlin.,1,5,France,0.0
capital_france,The capital of France is Berlin.,1,6,is,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,1,Water,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,2,boils,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,3,at,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,4,100,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,5,degrees,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,6,Celsius,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,7,at,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,8,sea,0.0
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,9,level.,0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,1,standard,0.0053001344203948975
water_boiling,"At standard pressure, water boils at 100°C.",0,2,At,0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,3,"pressure,",0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,4,water,0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,5,boils,0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,6,at,0.0
water_boiling,"At standard pressure, water boils at 100°C.",0,7,100°C.,0.0
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,1,Water,0.0
