case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,relation_polarity_clamp,noncopular_relation_clamp,all_noncopular_relations_supported,literal_only_block,guarded_paraphrase_tolerated,geometric_block,exact_reference_member,reference_member_geometry_override,relation_supported_geometry_override,final_geometric_block,final_literal_block,pred_hallucinated_v9,safe_to_emit_v9,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count,negated_positive_support_clamp,pred_hallucinated_exp15b,safe_to_emit_exp15b
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,0,The capital of Italy is Milan.,1,0.3311451077461242,0.1260182466357946,0.0739117264747619,0.0173688400536775,2.0,2,0.6311451077461243,0,0,1,1,0,0,0.0,1,0,0,0,0,1,0,0,0,1,1,1,0,,,Milan,milan,1,0,1,0
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,1,Italy's government is based in Turin.,1,0.6227448582649231,0.1260182466357946,0.0739117264747619,0.0173688400536775,2.0,3,0.9227448582649233,0,0,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,Turin,turin,1,0,1,0
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,2,Rome is the capital city of France.,1,0.3638596832752228,0.1260182466357946,0.0739117264747619,0.0173688400536775,0.5,3,0.4388596832752228,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,france,1,0,1,0
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,3,Italy's capital is Paris.,1,0.4274821877479553,0.1260182466357946,0.0739117264747619,0.0173688400536775,0.5,2,0.5024821877479553,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,paris,1,0,1,0
capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,4,Rome serves as Germany's capital.,1,0.4328112006187439,0.1260182466357946,0.0739117264747619,0.0173688400536775,2.0,3,0.7328112006187439,0,0,1,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,,,Germany's,germany's,1,0,1,0
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,0,Earth is perfectly flat.,1,0.5572154521942139,0.8761832118034363,0.5415163040161133,0.1115556359291076,1.0,1,0.7072154521942139,0,0,0,0,0,0,0.0,1,0,0,1,0,0,0,0,0,0,1,1,0,,,,"flat,perfectly",2,0,1,0
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,1,Earth is a perfect cube.,1,0.6852445006370544,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.5,2,0.7602445006370544,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,cube,1,0,1,0
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,2,Earth is a hollow artificial shell.,1,0.726864755153656,0.8761832118034363,0.5415163040161133,0.1115556359291076,1.5,1,0.951864755153656,0,0,0,0,0,0,0.0218356847763061,1,0,0,1,0,0,0,0,0,0,1,1,0,,,,"artificial,hollow,shell",3,0,1,0
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,3,Earth is a perfect cylinder.,1,0.6845223307609558,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.5,2,0.7595223307609558,0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,cylinder,1,0,1,0
earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,4,Earth has no equatorial bulging and is a perfect sphere.,1,0.4008582234382629,0.8761832118034363,0.5415163040161133,0.1115556359291076,0.0,5,0.4008582234382629,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,0,1,1,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,0,Gravity is fully solved by modern physics.,1,0.4879266023635864,0.958626389503479,0.7775291800498962,0.0603657364845275,1.0,3,0.6379266023635864,0,0,0,0,1,0,0.0151875615119934,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,"fully,solved",2,0,1,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,1,Quantum gravity is complete and experimentally verified.,1,0.4272800385951996,0.958626389503479,0.7775291800498962,0.0603657364845275,0.0,5,0.4272800385951996,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,2,Gravity is caused by invisible magnetic fluid.,1,0.711924135684967,0.958626389503479,0.7775291800498962,0.0603657364845275,2.0,1,1.011924135684967,0,0,0,0,0,0,0.001822292804718,0,0,0,1,0,0,0,0,0,0,1,1,0,,,,"caused,fluid,invisible,magnetic",4,0,1,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,3,A complete quantum theory of gravity is established.,1,0.2999047040939331,0.958626389503479,0.7775291800498962,0.0603657364845275,0.0,5,0.2999047040939331,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,4,General relativity proves gravity has no connection to mass or energy.,1,0.5088673830032349,0.958626389503479,0.7775291800498962,0.0603657364845275,1.0,5,0.6588673830032349,0,0,0,0,0,0,0.0080138444900512,0,0,0,1,1,0,0,0,0,0,0,0,1,,,,"connection,proves",2,1,1,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,0.1344274431467056,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,7,0.1344274431467056,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,1,Photosynthesis converts sugars into carbon dioxide and water.,1,0.1239046305418014,0.588822215795517,0.3488382697105407,0.079994648694992,0.0,7,0.1239046305418014,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,2,Photosynthesis converts oxygen into plastic.,1,0.3876755535602569,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,4,0.4626755535602569,0,0,0,0,0,1,0.1321305930614471,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,plastic,1,0,1,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,3,Photosynthesis converts light energy into metal.,1,0.4885956645011902,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,5,0.5635956645011901,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,metal,1,0,1,0
photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,4,Plants use photosynthesis to make soil from oxygen.,1,0.4229746162891388,0.588822215795517,0.3488382697105407,0.079994648694992,0.5,5,0.4979746162891388,0,0,0,0,0,1,0.128909170627594,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,soil,1,0,1,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,0,Earth orbits the Moon.,1,0.1658195704221725,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1658195704221725,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,1,The Sun orbits Earth.,1,0.1602308005094528,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1602308005094528,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,2,The Moon orbits the Sun.,1,0.228368729352951,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.228368729352951,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,3,Earth goes around the Moon.,1,0.3959774672985077,0.7127331048250198,0.4905523657798767,0.074060246348381,0.5,2,0.4709774672985077,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,goes,1,0,1,0
orbit_all_bad_extended,All candidates give wrong orbit relations.,0,4,The Sun is orbited by Mars.,1,0.5249975919723511,0.7127331048250198,0.4905523657798767,0.074060246348381,0.5,2,0.599997591972351,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,mars,1,0,1,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,0,DNA contains the nucleus.,1,0.146425575017929,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.146425575017929,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,1,DNA contains human cells.,1,0.2465547919273376,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,4,0.2465547919273376,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,2,Mitochondria contain the nucleus.,1,0.4662539958953857,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.0,3,0.4662539958953857,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,3,The nucleus contains keyboards.,1,0.7504246234893799,0.4785757139325142,0.2455860078334808,0.0776632353663444,0.5,2,0.8254246234893798,0,0,0,0,0,1,0.1543838381767273,0,1,0,0,0,1,0,0,0,1,0,1,0,,,,keyboards,1,0,1,0
dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,4,Human DNA is mainly stored in blood plasma outside cells.,1,0.5569323301315308,0.4785757139325142,0.2455860078334808,0.0776632353663444,2.0,3,0.8569323301315308,0,0,0,0,0,1,0.0406044721603393,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,"blood,outside,plasma,stored",4,0,1,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,0,Heat produces friction.,1,0.0604158602654933,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,3,0.0604158602654933,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,1,Heat converts friction into motion.,1,0.1004052385687828,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,5,0.1004052385687828,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,2,Friction converts heat into motion.,1,0.0859343409538269,0.2343085668981075,0.1492566466331482,0.0283506400883197,0.0,5,0.0859343409538269,0,0,0,0,0,0,0.0,0,1,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,3,Rubbing surfaces remove all heat through friction.,1,0.3647884726524353,0.2343085668981075,0.1492566466331482,0.0283506400883197,1.0,4,0.5147884726524353,0,0,0,0,0,1,0.0473468303680419,0,0,0,0,0,1,0,0,0,1,1,1,0,,,,"all,remove",2,0,1,0
friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,4,Friction generates cold by destroying heat.,1,0.3059371411800384,0.2343085668981075,0.1492566466331482,0.0283506400883197,1.5,2,0.5309371411800384,0,0,0,0,0,1,0.0686680078506469,0,0,1,0,0,1,0,0,0,1,1,1,0,,,,"cold,destroying,generates",3,0,1,0
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,0,"Mars has one moon, Phobos.",1,0.277057409286499,0.140945678576827,0.0847465991973877,0.0187330264598131,1.0,2,0.427057409286499,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,1,1,1,0,,,,"moon,one",2,0,1,0
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,1,Mars has three moons.,1,0.5258126258850098,0.140945678576827,0.0847465991973877,0.0187330264598131,0.5,2,0.6008126258850097,0,0,0,0,0,0,0.0,0,1,0,0,0,1,0,0,0,1,0,1,0,,,,three,1,0,1,0
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,2,"Mars has two moons, Luna and Titan.",1,0.5943159461021423,0.140945678576827,0.0847465991973877,0.0187330264598131,4.0,3,1.1943159461021424,0,0,1,1,0,1,0.052310824394226,0,0,1,0,0,1,0,0,0,1,1,1,0,,,"Luna,Titan","luna,titan",2,0,1,0
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,3,The two moons of Mars are Europa and Io.,1,0.590993344783783,0.140945678576827,0.0847465991973877,0.0187330264598131,3.5,3,1.1159933447837829,0,0,1,1,0,1,0.0559151768684387,1,0,0,0,0,1,0,0,0,1,1,1,0,,,"Europa,Io",europa,1,0,1,0
mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,4,Phobos and Deimos are the moons of Earth.,1,0.249929279088974,0.140945678576827,0.0847465991973877,0.0187330264598131,0.5,3,0.324929279088974,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,earth,1,0,1,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,0,A successful model is automatically the final truth.,1,0.5875060558319092,1.083843231201172,0.6137987971305847,0.156681478023529,0.0,5,0.5875060558319092,0,0,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,1,Scientific models are never tested against observations.,1,0.7632074952125549,1.083843231201172,0.6137987971305847,0.156681478023529,0.5,5,0.8382074952125549,0,0,0,0,1,1,0.1924583911895752,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,never,1,1,1,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,2,A model that matches evidence is complete reality.,1,0.4202569425106048,1.083843231201172,0.6137987971305847,0.156681478023529,0.0,5,0.4202569425106048,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,3,Scientific descriptions do not use measurements or predictions.,1,0.696054995059967,1.083843231201172,0.6137987971305847,0.156681478023529,0.5,4,0.771054995059967,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,use,1,1,1,0
science_models_all_bad_extended,All candidates overclaim scientific models.,0,4,Incomplete models cannot be useful.,1,0.7467308044433594,1.083843231201172,0.6137987971305847,0.156681478023529,2.0,3,1.0467308044433594,0,0,1,1,0,1,0.0579417943954467,0,0,0,0,0,0,0,0,0,0,1,1,0,,,Incomplete,cannot,1,0,1,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,0,Normal human body temperature is 100 degrees Celsius.,1,0.2192841321229934,0.2120460122823715,0.1235996335744857,0.0294821262359619,2.5,4,0.5942841321229935,1,0,0,1,0,1,0.0684773027896881,0,0,0,0,0,1,0,0,0,1,1,1,0,100.0,,,100,1,0,1,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,1,Normal human body temperature is 0 degrees Celsius.,1,0.3478704988956451,0.2120460122823715,0.1235996335744857,0.0294821262359619,2.5,4,0.7228704988956451,1,0,0,1,0,1,0.1900049448013305,0,0,0,0,0,1,0,0,0,1,1,1,0,0.0,,,0,1,0,1,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,2,Normal human body temperature is 37 degrees Fahrenheit.,1,0.0758658051490783,0.2120460122823715,0.1235996335744857,0.0294821262359619,3.0,5,0.5258658051490783,0,1,1,1,0,0,0.0,0,0,0,1,0,0,0,0,0,0,1,1,0,,fahrenheit,Fahrenheit,,0,0,1,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,3,Human body temperature is commonly described as near 200°C.,1,0.356557697057724,0.2120460122823715,0.1235996335744857,0.0294821262359619,2.5,3,0.731557697057724,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,0,1,1,1,0,200.0,,,200°c,1,0,1,0
temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,4,Normal body temperature never varies and is exactly 37°C.,1,0.4886578321456909,0.2120460122823715,0.1235996335744857,0.0294821262359619,0.5,5,0.5636578321456909,0,0,0,0,1,1,0.2660386562347412,0,0,0,0,0,1,0,0,0,1,0,1,0,,,,never,1,0,1,0
