suite,case_id,prompt,expected_has_valid,final_action_locked,emitted_text_locked,emitted_label_hallucinated_locked,emitted_score_locked,num_safe_candidates_locked,correct_case_decision_locked
,capital_italy_mixed,What is the capital of Italy?,1,emit,The capital of Italy is Rome.,0.0,0.015758391469717,2,1
,sun_classification_mixed,What kind of object is the Sun?,1,emit,The Sun is a star.,0.0,0.10981035977602,2,1
,mars_moons_mixed,How many moons does Mars have?,1,emit,"Mars has two moons, Phobos and Deimos.",0.0,0.0449438393115997,2,1
,gravity_quantum_mixed,Describe gravity without overclaiming.,1,emit,"Modern physics has useful descriptions of gravity, but no complete established quantum theory.",0.0,0.2395101934671402,2,1
,eiffel_location_all_bad,Where is the Eiffel Tower?,0,block,,,,0,1
,human_body_temp_all_bad,What is normal human body temperature?,0,block,,,,0,1
,photosynthesis_all_bad,What does photosynthesis do?,0,block,,,,0,1
,valid_science_paraphrases,Explain scientific models carefully.,1,emit,Scientific models describe observations and can be useful without being final truth.,0.0,0.1749086827039718,3,1
,earth_shape_mixed,What is the shape of Earth?,1,emit,Earth is approximately an oblate spheroid.,0.0,0.1051608175039291,2,1
,dna_location_all_bad,Where is DNA mainly found in human cells?,0,block,,,,0,1
,sun_classification_all_bad_exp07_fn,What kind of object is the Sun?,0,block,,,,0,1
,earth_shape_all_bad_exp07_fn,What is the shape of Earth?,0,block,,,,0,1
,negation_polarity_all_bad,Test negation polarity failures.,0,block,,,,0,1
,category_substitution_all_bad,Test short category substitutions.,0,block,,,,0,1
,mixed_control_sun_earth,Mixed pool control with valid candidates present.,1,emit,The Sun is a star.,0.0,0.3686389625072479,2,1
,orbit_relation_mixed,Which object orbits which?,1,emit,Earth orbits the Sun.,0.0,0.1184820383787155,2,1
,orbit_relation_all_bad,Block wrong orbit relations.,0,block,,,,0,1
,conversion_direction_mixed,What does photosynthesis convert?,1,emit,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0.0,0.0616318546235561,3,1
,conversion_direction_all_bad,Block wrong conversion relations.,0,block,,,,0,1
,containment_direction_mixed,Where is DNA contained?,1,emit,The nucleus contains most human cellular DNA.,0.0,0.0624954551458358,3,1
,containment_direction_all_bad,Block wrong containment relations.,0,block,,,,0,1
,cause_direction_mixed,Which direction is the causal relation?,1,emit,Friction converts some motion into heat.,0.0,0.0492999479174613,3,1
,has_count_relation_mixed,Check object-count relations.,1,emit,"Mars has two moons, Phobos and Deimos.",0.0,0.027212930843234,3,1
,earth_shape_valid_paraphrases,Describe Earth's shape.,1,emit,Earth is approximately an oblate spheroid.,0.0,0.1051608175039291,5,1
,gravity_valid_paraphrases,Describe gravity carefully.,1,emit,"Modern physics has useful descriptions of gravity, but no complete quantum theory is established.",0.0,0.2447728961706161,5,1
,photosynthesis_valid_paraphrases,Describe photosynthesis.,1,emit,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0.0,0.0616318546235561,5,1
,orbit_valid_paraphrases,Describe orbit relations.,1,emit,Earth orbits the Sun.,0.0,0.1184820383787155,5,1
,dna_valid_paraphrases,Describe DNA location.,1,emit,The nucleus contains most human cellular DNA.,0.0,0.0624954551458358,5,1
,friction_heat_valid_paraphrases,Describe friction and heat.,1,emit,Friction converts some motion into heat.,0.0,0.0492999479174613,5,1
,mars_moons_valid_paraphrases,Describe Mars moons.,1,emit,The two moons of Mars are Phobos and Deimos.,0.0,0.0173749979585409,5,1
,science_models_valid_paraphrases,Describe scientific models carefully.,1,emit,Scientific models describe observations and can be useful without being final truth.,0.0,0.1749086827039718,5,1
,temperature_valid_paraphrases,Describe normal body temperature.,1,emit,Normal human body temperature is often given as about 37 degrees Celsius.,0.0,0.0365231446921825,5,1
,capital_valid_paraphrases,State capital relations.,1,emit,The capital of Italy is Rome.,0.0,0.015758391469717,5,1
,capital_italy_all_bad_extended,All candidates give wrong Italy capital/government claims.,0,block,,,,0,1
,earth_shape_all_bad_extended,All candidates give wrong Earth-shape claims.,0,block,,,,0,1
,gravity_all_bad_extended,All candidates overclaim or misdescribe gravity.,0,block,,,,0,1
,photosynthesis_all_bad_extended,All candidates give wrong photosynthesis relations.,0,block,,,,0,1
,orbit_all_bad_extended,All candidates give wrong orbit relations.,0,block,,,,0,1
,dna_location_all_bad_extended,All candidates give wrong DNA location/containment claims.,0,block,,,,0,1
,friction_heat_all_bad_extended,All candidates reverse or corrupt friction/heat relations.,0,block,,,,0,1
,mars_moons_all_bad_extended,All candidates give wrong Mars moon claims.,0,block,,,,0,1
,science_models_all_bad_extended,All candidates overclaim scientific models.,0,block,,,,0,1
,temperature_all_bad_extended,All candidates give wrong body-temperature claims.,0,block,,,,0,1
