suite,clamp,count_fired,N_candidates,rate
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,protected_number,6,207,0.028985507246376812
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,protected_unit,2,207,0.00966183574879227
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,protected_entity,15,207,0.07246376811594203
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,protected_literal_drift,21,207,0.10144927536231885
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,overclaim_flag,12,207,0.057971014492753624
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,content_clamp_flag,34,207,0.1642512077294686
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,relation_polarity_clamp,9,207,0.043478260869565216
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,relation_polarity_clamp_v10b,35,207,0.16908212560386474
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,noncopular_relation_clamp,18,207,0.08695652173913043
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,noncopular_relation_clamp_v13c,24,207,0.11594202898550725
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,negated_positive_support_clamp,4,207,0.01932367149758454
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,role_swapped_relation_clamp,15,207,0.07246376811594203
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,known_participant_unsupported_relation_clamp,83,207,0.40096618357487923
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,guarded_known_participant_unsupported_relation_clamp,41,207,0.19806763285024154
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,historical_date_relation_clamp,0,207,0.0
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,missed_predicate_relation_clamp,0,207,0.0
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,exp19b_guarded_patch_clamp,55,207,0.26570048309178745
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,reference_member_geometry_override,1,207,0.004830917874396135
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,exact_reference_member,36,207,0.17391304347826086
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,final_geometric_block,19,207,0.09178743961352658
EXP16B_MASTER_LOCKED_PLUS_GUARDED_EXP18,final_literal_block,18,207,0.08695652173913043
EXP18_UNSEEN_HOLDOUT_GUARDED,protected_number,1,50,0.02
EXP18_UNSEEN_HOLDOUT_GUARDED,protected_unit,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,protected_entity,4,50,0.08
EXP18_UNSEEN_HOLDOUT_GUARDED,protected_literal_drift,2,50,0.04
EXP18_UNSEEN_HOLDOUT_GUARDED,overclaim_flag,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,content_clamp_flag,2,50,0.04
EXP18_UNSEEN_HOLDOUT_GUARDED,relation_polarity_clamp,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,relation_polarity_clamp_v10b,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,noncopular_relation_clamp,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,noncopular_relation_clamp_v13c,0,50,0.0
EXP18_UNSEEN_HOLDOUT_GUARDED,negated_positive_support_clamp,5,50,0.1
EXP18_UNSEEN_HOLDOUT_GUARDED,role_swapped_relation_clamp,4,50,0.08
EXP18_UNSEEN_HOLDOUT_GUARDED,known_participant_unsupported_relation_clamp,20,50,0.4
EXP18_UNSEEN_HOLDOUT_GUARDED,guarded_known_participant_unsupported_relation_clamp,7,50,0.14
EXP18_UNSEEN_HOLDOUT_GUARDED,historical_date_relation_clamp,5,50,0.1
EXP18_UNSEEN_HOLDOUT_GUARDED,missed_predicate_relation_clamp,1,50,0.02
EXP18_UNSEEN_HOLDOUT_GUARDED,exp19b_guarded_patch_clamp,15,50,0.3
EXP18_UNSEEN_HOLDOUT_GUARDED,reference_member_geometry_override,0,50,0.0
