case_id,candidate_index,text,label_hallucinated,token,token_stem,token_shock,string_support,semantic_support,supported_by_stem,supported_by_string,supported_by_semantic,unsupported,block_token
capital_italy_all_bad_extended,0,The capital of Italy is Milan.,1,milan,milan,0.12100151181221008,0.4,0.6637154817581177,0,0,1,0,0
capital_italy_all_bad_extended,1,Italy's government is based in Turin.,1,turin,turin,0.03286463022232056,0.2222222222222222,0.6297390460968018,0,0,1,0,0
capital_italy_all_bad_extended,2,Rome is the capital city of France.,1,france,france,0.13916084170341492,0.4,0.7252786159515381,0,0,1,0,0
capital_italy_all_bad_extended,3,Italy's capital is Paris.,1,paris,paris,0.15759575366973877,0.4,0.56976318359375,0,0,1,0,0
capital_italy_all_bad_extended,4,Rome serves as Germany's capital.,1,germany's,germany',0.13971465826034546,0.5263157894736842,0.712029218673706,0,0,1,0,0
earth_shape_all_bad_extended,0,Earth is perfectly flat.,1,flat,flat,0.0,0.6153846153846154,0.8729459047317505,0,0,1,0,0
earth_shape_all_bad_extended,0,Earth is perfectly flat.,1,perfectly,perfectly,0.0,0.875,0.6073377132415771,0,1,1,0,0
earth_shape_all_bad_extended,1,Earth is a perfect cube.,1,cube,cube,0.0,0.4,0.4911370873451233,0,0,0,1,0
earth_shape_all_bad_extended,2,Earth is a hollow artificial shell.,1,artificial,artificial,0.021835684776306152,0.5263157894736842,0.353318452835083,0,0,0,1,0
earth_shape_all_bad_extended,2,Earth is a hollow artificial shell.,1,hollow,hollow,0.0,0.36363636363636365,0.5754595994949341,0,0,1,0,0
earth_shape_all_bad_extended,2,Earth is a hollow artificial shell.,1,shell,shell,0.0,0.6,0.4371970593929291,0,0,0,1,0
earth_shape_all_bad_extended,3,Earth is a perfect cylinder.,1,cylinder,cylinder,0.0,0.42857142857142855,0.4569509029388428,0,0,0,1,0
gravity_all_bad_extended,0,Gravity is fully solved by modern physics.,1,fully,fully,0.028200745582580566,0.5454545454545454,0.5678460001945496,0,0,1,0,0
gravity_all_bad_extended,0,Gravity is fully solved by modern physics.,1,solved,solved,0.015187561511993408,0.5,0.4610671103000641,0,0,0,1,0
