case_id,candidate_index,text,label_hallucinated,relation_type,subject,supported,noncopular_relation_block,coord_shared_subject,raw,object,src,dst,objects,count
orbit_relation_mixed,0,Earth orbits the Moon.,1,orbit,earth,0,1,0,earth orbits the moon,moon,,,,
orbit_relation_mixed,1,Earth orbits the Sun.,0,orbit,earth,1,0,0,earth orbits the sun,sun,,,,
orbit_relation_mixed,2,The Moon orbits Earth.,0,orbit,moon,1,0,0,the moon orbits earth,earth,,,,
orbit_relation_mixed,3,The Sun orbits Earth.,1,orbit,sun,0,1,0,the sun orbits earth,earth,,,,
orbit_relation_mixed,4,Earth orbits Mars.,1,orbit,earth,0,1,0,earth orbits mars,mar,,,,
orbit_relation_all_bad,0,Earth orbits the Moon.,1,orbit,earth,0,1,0,earth orbits the moon,moon,,,,
orbit_relation_all_bad,1,The Sun orbits Earth.,1,orbit,sun,0,1,0,the sun orbits earth,earth,,,,
orbit_relation_all_bad,2,Mars orbits Phobos.,1,orbit,mar,0,1,0,mars orbits phobos,phobo,,,,
orbit_relation_all_bad,3,The Moon orbits the Sun.,1,orbit,moon,0,1,0,the moon orbits the sun,sun,,,,
orbit_relation_all_bad,4,Phobos orbits Earth.,1,orbit,phobo,0,1,0,phobos orbits earth,earth,,,,
conversion_direction_mixed,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,convert,photosynthesi,0,1,0,photosynthesis converts oxygen into carbon dioxide and water,,oxygen,"carbon,dioxide,water",,
conversion_direction_mixed,1,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0,convert,photosynthesi,1,0,0,photosynthesis converts carbon dioxide and water into sugars and oxygen,,"carbon,dioxide,water","oxygen,sugar",,
conversion_direction_mixed,3,Photosynthesis converts carbon dioxide into plastic.,1,convert,photosynthesi,0,1,0,photosynthesis converts carbon dioxide into plastic,,"carbon,dioxide",plastic,,
conversion_direction_mixed,4,Photosynthesis releases oxygen and stores light energy.,0,release,photosynthesi,1,0,1,photosynthesis releases oxygen and stores light energy,,,,oxygen,
conversion_direction_mixed,4,Photosynthesis releases oxygen and stores light energy.,0,store,photosynthesi,1,0,1,photosynthesis releases oxygen and stores light energy,,,,"energy,light",
conversion_direction_all_bad,0,Photosynthesis converts oxygen into carbon dioxide and water.,1,convert,photosynthesi,0,1,0,photosynthesis converts oxygen into carbon dioxide and water,,oxygen,"carbon,dioxide,water",,
conversion_direction_all_bad,1,Photosynthesis converts sugars into carbon dioxide and water.,1,convert,photosynthesi,0,1,0,photosynthesis converts sugars into carbon dioxide and water,,sugar,"carbon,dioxide,water",,
conversion_direction_all_bad,2,Photosynthesis converts oxygen into plastic.,1,convert,photosynthesi,0,1,0,photosynthesis converts oxygen into plastic,,oxygen,plastic,,
conversion_direction_all_bad,3,Photosynthesis converts light energy into metal.,1,convert,photosynthesi,0,1,0,photosynthesis converts light energy into metal,,"energy,light",metal,,
containment_direction_mixed,0,DNA contains the nucleus.,1,contain,dna,0,1,0,dna contains the nucleus,,,,nucleu,
containment_direction_mixed,1,The nucleus contains most human cellular DNA.,0,contain,nucleu,1,0,0,the nucleus contains most human cellular dna,,,,"cellular,dna,human",
containment_direction_mixed,2,Human cells contain DNA in the nucleus.,0,contain,cell,1,0,0,human cells contain dna in the nucleus,,,,"dna,nucleu",
containment_direction_mixed,3,Mitochondria contain some DNA.,0,contain,mitochondria,1,0,0,mitochondria contain some dna,,,,dna,
containment_direction_mixed,4,DNA contains human cells.,1,contain,dna,0,1,0,dna contains human cells,,,,"cell,human",
containment_direction_all_bad,0,DNA contains the nucleus.,1,contain,dna,0,1,0,dna contains the nucleus,,,,nucleu,
containment_direction_all_bad,1,DNA contains human cells.,1,contain,dna,0,1,0,dna contains human cells,,,,"cell,human",
containment_direction_all_bad,2,Mitochondria contain the nucleus.,1,contain,mitochondria,0,1,0,mitochondria contain the nucleus,,,,nucleu,
containment_direction_all_bad,3,The nucleus contains keyboards.,1,contain,nucleu,0,1,0,the nucleus contains keyboards,,,,keyboard,
cause_direction_mixed,0,Heat produces friction.,1,produce,heat,0,1,0,heat produces friction,,,,friction,
cause_direction_mixed,1,Friction can produce heat.,0,produce,friction,1,0,0,friction can produce heat,,,,heat,
cause_direction_mixed,2,Rubbing surfaces can generate heat through friction.,0,produce,surface,1,0,0,rubbing surfaces can generate heat through friction,,,,"friction,heat",
cause_direction_mixed,3,Friction converts some motion into heat.,0,convert,friction,1,0,0,friction converts some motion into heat,,motion,heat,,
cause_direction_mixed,4,Heat converts friction into motion.,1,convert,heat,0,1,0,heat converts friction into motion,,friction,motion,,
has_count_relation_mixed,0,"Mars has one moon, Phobos.",1,has_count,mar,0,1,0,mars has one moon,moon,,,,1
has_count_relation_mixed,1,"Mars has two moons, Phobos and Deimos.",0,has_count,mar,1,0,0,mars has two moons,moon,,,,2
has_count_relation_mixed,2,Earth has one Moon.,0,has_count,earth,1,0,0,earth has one moon,moon,,,,1
has_count_relation_mixed,3,Earth has two moons.,1,has_count,earth,0,1,0,earth has two moons,moon,,,,2
has_count_relation_mixed,4,Jupiter has many moons.,0,has_count,jupiter,1,0,0,jupiter has many moons,moon,,,,many
