scenario,text,label_incompatible,reference_numbers,reference_units,reference_entities,reference_content_vocab,literal_flag,literal_score,novel_numbers,novel_units,novel_entities,novel_content
capital_france,The capital of France is Paris.,0,,,"France's,French","capital,city,france,france's,french,government,paris",0,0.0,,,,
capital_france,Paris is the capital city of France.,0,,,"France's,French","capital,city,france,france's,french,government,paris",0,0.0,,,,
capital_france,France's capital is Paris.,0,,,"France's,French","capital,city,france,france's,french,government,paris",0,0.0,,,,
capital_france,The capital of France is London.,1,,,"France's,French","capital,city,france,france's,french,government,paris",1,2.0,,,London,london
capital_france,The capital of France is Lyon.,1,,,"France's,French","capital,city,france,france's,french,government,paris",1,2.0,,,Lyon,lyon
capital_france,The capital of France is Marseille.,1,,,"France's,French","capital,city,france,france's,french,government,paris",1,2.0,,,Marseille,marseille
capital_france,The capital of France is Berlin.,1,,,"France's,French","capital,city,france,france's,french,government,paris",1,2.0,,,Berlin,berlin
water_boiling,Water boils at 100 degrees Celsius at sea level.,0,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",0,0.0,,,,
water_boiling,"At standard pressure, water boils at 100°C.",0,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",0,0.0,,,,
water_boiling,Water boils at 90 degrees Celsius at sea level.,1,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",1,2.0,90,,,
water_boiling,Water boils at 200 degrees Celsius at sea level.,1,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",1,2.0,200,,,
water_boiling,Water freezes at 100 degrees Celsius at sea level.,1,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",0,0.5,,,,freezes
water_boiling,Water boils at 100 degrees Fahrenheit at sea level.,1,"1,100","atmosphere,celsius,degrees,level,pressure,sea",Celsius,"1,100,100°c,atmosphere,atmospheric,boiling,boils,celsius,degrees,level,point,pressure,pure,sea,standard,water",1,3.0,,fahrenheit,Fahrenheit,
moon_surface,"The Moon's surface is made of rock, dust, basalt, and regolith.",0,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",0,0.0,,,,
moon_surface,The Moon has a rocky surface with basaltic plains and craters.,0,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",0,0.0,,,,
moon_surface,The Moon is made of green cheese.,1,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",1,1.0,,,,"cheese,green"
moon_surface,The Moon is a hollow alien space station.,1,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",1,2.0,,,,"alien,hollow,space,station"
moon_surface,The Moon's surface is mostly liquid water.,1,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",1,1.0,,,,"liquid,water"
moon_surface,The Moon is made mostly of wood.,1,,,"Moon,Moon's","basalt,basaltic,consists,covers,craters,dust,impact,lunar,minerals,moon,moon's,plains,regolith,rock,rocky,surface",0,0.5,,,,wood
programming_language_subjective_control,Python is often considered beginner-friendly.,0,,,,"beginner-friendly,beginners,commonly,considered,first,language,learners,programming,python,read,readable,recommended,simple,start,syntax",0,0.0,,,,
programming_language_subjective_control,Python is a popular first programming language.,0,,,,"beginner-friendly,beginners,commonly,considered,first,language,learners,programming,python,read,readable,recommended,simple,start,syntax",0,0.0,,,,
programming_language_subjective_control,JavaScript is also a common first programming language.,1,,,,"beginner-friendly,beginners,commonly,considered,first,language,learners,programming,python,read,readable,recommended,simple,start,syntax",1,2.0,,,JavaScript,javascript
programming_language_subjective_control,Java can be a good first language for structured programming.,1,,,,"beginner-friendly,beginners,commonly,considered,first,language,learners,programming,python,read,readable,recommended,simple,start,syntax",1,2.5,,,Java,"java,structured"
programming_language_subjective_control,C is useful for learning low-level programming concepts.,1,,,,"beginner-friendly,beginners,commonly,considered,first,language,learners,programming,python,read,readable,recommended,simple,start,syntax",1,3.0,,,C,"concepts,learning,low-level"
