suite,clamp,count_fired,N_candidates,rate
EXP07_adversarial_suite_LOCKED_EXP10B,protected_number,3,46,0.06521739130434782
EXP07_adversarial_suite_LOCKED_EXP10B,protected_unit,1,46,0.021739130434782608
EXP07_adversarial_suite_LOCKED_EXP10B,protected_entity,8,46,0.17391304347826086
EXP07_adversarial_suite_LOCKED_EXP10B,protected_literal_drift,11,46,0.2391304347826087
EXP07_adversarial_suite_LOCKED_EXP10B,overclaim_flag,3,46,0.06521739130434782
EXP07_adversarial_suite_LOCKED_EXP10B,content_clamp_flag,15,46,0.32608695652173914
EXP07_adversarial_suite_LOCKED_EXP10B,relation_polarity_clamp,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,relation_polarity_clamp_v10b,14,46,0.30434782608695654
EXP07_adversarial_suite_LOCKED_EXP10B,noncopular_relation_clamp,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,noncopular_relation_clamp_v13c,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,final_geometric_block,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,final_geometric_block_v14b,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,final_literal_block,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,negated_positive_support_clamp,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,reference_member_geometry_override,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,relation_supported_geometry_override,0,46,0.0
EXP07_adversarial_suite_LOCKED_EXP10B,exact_reference_member,0,46,0.0
EXP08_false_negative_stress_LOCKED_EXP11,protected_number,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,protected_unit,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,protected_entity,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,protected_literal_drift,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,overclaim_flag,2,23,0.08695652173913043
EXP08_false_negative_stress_LOCKED_EXP11,content_clamp_flag,3,23,0.13043478260869565
EXP08_false_negative_stress_LOCKED_EXP11,relation_polarity_clamp,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,relation_polarity_clamp_v10b,21,23,0.9130434782608695
EXP08_false_negative_stress_LOCKED_EXP11,noncopular_relation_clamp,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,noncopular_relation_clamp_v13c,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,final_geometric_block,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,final_geometric_block_v14b,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,final_literal_block,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,negated_positive_support_clamp,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,reference_member_geometry_override,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,relation_supported_geometry_override,0,23,0.0
EXP08_false_negative_stress_LOCKED_EXP11,exact_reference_member,0,23,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,protected_number,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,protected_unit,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,protected_entity,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,protected_literal_drift,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,overclaim_flag,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,content_clamp_flag,3,38,0.07894736842105263
EXP13_noncopular_relation_LOCKED_EXP13C,relation_polarity_clamp,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,relation_polarity_clamp_v10b,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,noncopular_relation_clamp,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,noncopular_relation_clamp_v13c,24,38,0.631578947368421
EXP13_noncopular_relation_LOCKED_EXP13C,final_geometric_block,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,final_geometric_block_v14b,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,final_literal_block,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,negated_positive_support_clamp,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,reference_member_geometry_override,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,relation_supported_geometry_override,0,38,0.0
EXP13_noncopular_relation_LOCKED_EXP13C,exact_reference_member,0,38,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,protected_number,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,protected_unit,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,protected_entity,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,protected_literal_drift,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,overclaim_flag,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,content_clamp_flag,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,relation_polarity_clamp,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,relation_polarity_clamp_v10b,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,noncopular_relation_clamp,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,noncopular_relation_clamp_v13c,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,final_geometric_block,1,50,0.02
EXP14_valid_paraphrase_LOCKED_EXP14B,final_geometric_block_v14b,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,final_literal_block,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,negated_positive_support_clamp,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,reference_member_geometry_override,1,50,0.02
EXP14_valid_paraphrase_LOCKED_EXP14B,relation_supported_geometry_override,0,50,0.0
EXP14_valid_paraphrase_LOCKED_EXP14B,exact_reference_member,36,50,0.72
EXP15_large_all_bad_LOCKED_EXP15B,protected_number,3,50,0.06
EXP15_large_all_bad_LOCKED_EXP15B,protected_unit,1,50,0.02
EXP15_large_all_bad_LOCKED_EXP15B,protected_entity,7,50,0.14
EXP15_large_all_bad_LOCKED_EXP15B,protected_literal_drift,10,50,0.2
EXP15_large_all_bad_LOCKED_EXP15B,overclaim_flag,7,50,0.14
EXP15_large_all_bad_LOCKED_EXP15B,content_clamp_flag,13,50,0.26
EXP15_large_all_bad_LOCKED_EXP15B,relation_polarity_clamp,9,50,0.18
EXP15_large_all_bad_LOCKED_EXP15B,relation_polarity_clamp_v10b,0,50,0.0
EXP15_large_all_bad_LOCKED_EXP15B,noncopular_relation_clamp,18,50,0.36
EXP15_large_all_bad_LOCKED_EXP15B,noncopular_relation_clamp_v13c,0,50,0.0
EXP15_large_all_bad_LOCKED_EXP15B,final_geometric_block,18,50,0.36
EXP15_large_all_bad_LOCKED_EXP15B,final_geometric_block_v14b,0,50,0.0
EXP15_large_all_bad_LOCKED_EXP15B,final_literal_block,18,50,0.36
EXP15_large_all_bad_LOCKED_EXP15B,negated_positive_support_clamp,4,50,0.08
EXP15_large_all_bad_LOCKED_EXP15B,reference_member_geometry_override,0,50,0.0
EXP15_large_all_bad_LOCKED_EXP15B,relation_supported_geometry_override,0,50,0.0
EXP15_large_all_bad_LOCKED_EXP15B,exact_reference_member,0,50,0.0
COMBINED_LOCKED_REGRESSION,protected_number,6,207,0.028985507246376812
COMBINED_LOCKED_REGRESSION,protected_unit,2,207,0.00966183574879227
COMBINED_LOCKED_REGRESSION,protected_entity,15,207,0.07246376811594203
COMBINED_LOCKED_REGRESSION,protected_literal_drift,21,207,0.10144927536231885
COMBINED_LOCKED_REGRESSION,overclaim_flag,12,207,0.057971014492753624
COMBINED_LOCKED_REGRESSION,content_clamp_flag,34,207,0.1642512077294686
COMBINED_LOCKED_REGRESSION,relation_polarity_clamp,9,207,0.043478260869565216
COMBINED_LOCKED_REGRESSION,relation_polarity_clamp_v10b,35,207,0.16908212560386474
COMBINED_LOCKED_REGRESSION,noncopular_relation_clamp,18,207,0.08695652173913043
COMBINED_LOCKED_REGRESSION,noncopular_relation_clamp_v13c,24,207,0.11594202898550725
COMBINED_LOCKED_REGRESSION,final_geometric_block,19,207,0.09178743961352658
COMBINED_LOCKED_REGRESSION,final_geometric_block_v14b,0,207,0.0
COMBINED_LOCKED_REGRESSION,final_literal_block,18,207,0.08695652173913043
COMBINED_LOCKED_REGRESSION,negated_positive_support_clamp,4,207,0.01932367149758454
COMBINED_LOCKED_REGRESSION,reference_member_geometry_override,1,207,0.004830917874396135
COMBINED_LOCKED_REGRESSION,relation_supported_geometry_override,0,207,0.0
COMBINED_LOCKED_REGRESSION,exact_reference_member,36,207,0.17391304347826086
