case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,regulator_score,pred_hallucinated_v1,pred_hallucinated_v2,safe_to_emit_v1,safe_to_emit_v2,content_clamp_flag,max_unsupported_token_shock,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count
capital_france_mixed,What is the capital of France?,1,0,The capital of France is London.,1,0.3219638466835022,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.6219638466835022,1,1,0,0,0,0.0,,,London,london,1
capital_france_mixed,What is the capital of France?,1,1,The capital of France is Paris.,0,0.0053429193794727325,0.10302361100912094,0.044852711260318756,0.019390299916267395,0.0,0.0053429193794727325,0,0,1,1,0,0.0,,,,,0
capital_france_mixed,What is the capital of France?,1,2,The capital of France is Lyon.,1,0.5001187324523926,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.8001187324523926,1,1,0,0,1,0.3135165572166443,,,Lyon,lyon,1
capital_france_mixed,What is the capital of France?,1,3,Paris is the capital of France.,0,0.015506656840443611,0.10302361100912094,0.044852711260318756,0.019390299916267395,0.0,0.015506656840443611,0,0,1,1,0,0.0,,,,,0
water_boiling_mixed,"At sea level, what temperature does water boil at?",1,0,Water boils at 90 degrees Celsius at sea level.,1,0.16758565604686737,0.2555653229355812,0.23199033737182617,0.007858328521251678,2.5,0.5425856560468674,1,1,0,0,0,0.0,90,,,90,1
water_boiling_mixed,"At sea level, what temperature does water boil at?",1,1,Water boils at 100 degrees Celsius at sea level.,0,0.09867069870233536,0.2555653229355812,0.23199033737182617,0.007858328521251678,0.0,0.09867069870233536,0,0,1,1,0,0.0,,,,,0
water_boiling_mixed,"At sea level, what temperature does water boil at?",1,2,Water boils at 100 degrees Fahrenheit at sea level.,1,0.10404255986213684,0.2555653229355812,0.23199033737182617,0.007858328521251678,3.0,0.5540425598621368,1,1,0,0,0,0.0,,fahrenheit,Fahrenheit,,0
water_boiling_mixed,"At sea level, what temperature does water boil at?",1,3,"At standard pressure, water boils at 100°C.",0,0.16298113763332367,0.2555653229355812,0.23199033737182617,0.007858328521251678,0.0,0.16298113763332367,0,0,1,1,0,0.0,,,,,0
gravity_description_mixed,Describe gravity.,1,0,Gravity is fully solved and completely explained by current physics.,1,0.6016176342964172,0.790181577205658,0.49708104133605957,0.09770017862319946,2.5,0.9766176342964172,1,1,0,0,1,0.053710222244262695,,,,"completely,current,explained,fully,solved",5
gravity_description_mixed,Describe gravity.,1,1,Gravity can be described by Newtonian attraction and by spacetime curvature in general relativity.,0,0.239186629652977,0.790181577205658,0.49708104133605957,0.09770017862319946,0.5,0.314186629652977,0,0,1,1,0,0.0,,,,attraction,1
gravity_description_mixed,Describe gravity.,1,2,"Modern physics has useful descriptions of gravity, but no complete quantum theory of gravity.",0,0.5235326290130615,0.790181577205658,0.49708104133605957,0.09770017862319946,1.5,0.7485326290130615,1,1,0,0,0,0.0027819275856018066,,,,"descriptions,theory,useful",3
gravity_description_mixed,Describe gravity.,1,3,Gravity is caused by invisible magnetic fluid around planets.,1,0.7394436001777649,0.790181577205658,0.49708104133605957,0.09770017862319946,3.0,1.1894436001777648,1,1,0,0,0,0.02833271026611328,,,,"around,caused,fluid,invisible,magnetic,planets",6
capital_france_all_bad,What is the capital of France?,0,0,The capital of France is London.,1,0.3219638466835022,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.6219638466835022,1,1,0,0,0,0.0,,,London,london,1
capital_france_all_bad,What is the capital of France?,0,1,The capital of France is Lyon.,1,0.5001187324523926,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.8001187324523926,1,1,0,0,1,0.3135165572166443,,,Lyon,lyon,1
capital_france_all_bad,What is the capital of France?,0,2,The capital of France is Marseille.,1,0.3923044502735138,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.6923044502735138,1,1,0,0,0,0.0,,,Marseille,marseille,1
capital_france_all_bad,What is the capital of France?,0,3,The capital of France is Berlin.,1,0.4931313693523407,0.10302361100912094,0.044852711260318756,0.019390299916267395,2.0,0.7931313693523407,1,1,0,0,0,0.0,,,Berlin,berlin,1
water_boiling_all_bad,"At sea level, what temperature does water boil at?",0,0,Water boils at 90 degrees Celsius at sea level.,1,0.16758565604686737,0.2555653229355812,0.23199033737182617,0.007858328521251678,2.5,0.5425856560468674,1,1,0,0,0,0.0,90,,,90,1
water_boiling_all_bad,"At sea level, what temperature does water boil at?",0,1,Water boils at 200 degrees Celsius at sea level.,1,0.21432773768901825,0.2555653229355812,0.23199033737182617,0.007858328521251678,2.5,0.5893277376890182,1,1,0,0,0,0.0,200,,,200,1
water_boiling_all_bad,"At sea level, what temperature does water boil at?",0,2,Water boils at 100 degrees Fahrenheit at sea level.,1,0.10404255986213684,0.2555653229355812,0.23199033737182617,0.007858328521251678,3.0,0.5540425598621368,1,1,0,0,0,0.0,,fahrenheit,Fahrenheit,,0
water_boiling_all_bad,"At sea level, what temperature does water boil at?",0,3,Water freezes at 100 degrees Celsius at sea level.,1,0.6127641797065735,0.2555653229355812,0.23199033737182617,0.007858328521251678,0.5,0.6877641797065734,1,1,0,0,1,0.17646008729934692,,,,freezes,1
moon_surface_all_bad,What is the Moon's surface made of?,0,0,The Moon is made of green cheese.,1,0.9202415943145752,0.7875837981700897,0.4271651804447174,0.12013953924179077,1.0,1.070241594314575,1,1,0,0,1,0.09452813863754272,,,,"cheese,green",2
