case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,relation_polarity_clamp_v10b,literal_only_block,guarded_paraphrase_tolerated,pred_hallucinated_v6,safe_to_emit_v6,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count,noncopular_relation_clamp_v13c,all_noncopular_relations_supported_v13c,relation_supported_geometry_override_v13c,pred_hallucinated_v8_exp13c,safe_to_emit_v8
orbit_relation_mixed,Which object orbits which?,1,0,Earth orbits the Moon.,1,0.1658195704221725,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1658195704221725,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_mixed,Which object orbits which?,1,1,Earth orbits the Sun.,0,0.1184820383787155,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1184820383787155,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
orbit_relation_mixed,Which object orbits which?,1,2,The Moon orbits Earth.,0,0.1980994343757629,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1980994343757629,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,0,1,0,0,1
orbit_relation_mixed,Which object orbits which?,1,3,The Sun orbits Earth.,1,0.1602308005094528,0.7127331048250198,0.4905523657798767,0.074060246348381,0.0,3,0.1602308005094528,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_mixed,Which object orbits which?,1,4,Earth orbits Mars.,1,0.5314529538154602,0.7127331048250198,0.4905523657798767,0.074060246348381,0.5,2,0.6064529538154602,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,mars,1,1,0,0,1,0
orbit_relation_all_bad,Block wrong orbit relations.,0,0,Earth orbits the Moon.,1,0.2688793540000915,0.7869213074445724,0.5199111104011536,0.0890033990144729,0.0,3,0.2688793540000915,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_all_bad,Block wrong orbit relations.,0,1,The Sun orbits Earth.,1,0.2350172400474548,0.7869213074445724,0.5199111104011536,0.0890033990144729,0.0,3,0.2350172400474548,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_all_bad,Block wrong orbit relations.,0,2,Mars orbits Phobos.,1,0.5055621266365051,0.7869213074445724,0.5199111104011536,0.0890033990144729,0.0,3,0.5055621266365051,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_all_bad,Block wrong orbit relations.,0,3,The Moon orbits the Sun.,1,0.3203023374080658,0.7869213074445724,0.5199111104011536,0.0890033990144729,0.0,3,0.3203023374080658,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
orbit_relation_all_bad,Block wrong orbit relations.,0,4,Phobos orbits Earth.,1,0.5833215713500977,0.7869213074445724,0.5199111104011536,0.0890033990144729,0.0,3,0.5833215713500977,0,0,0,0,0,0,0.0,0,0,0,0,1,,,,,0,1,0,0,1,0
