suite,case_id,candidate_index,text,label_hallucinated,pred_hallucinated_locked,safe_to_emit_locked,pred_hallucinated_previous,locked_confusion_class,mbt5_shock,threshold,literal_score,reference_overlap,regulator_score,anchor_median,anchor_mad,max_unsupported_token_shock,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,relation_polarity_clamp,relation_polarity_clamp_v10b,noncopular_relation_clamp,noncopular_relation_clamp_v13c,final_geometric_block,final_geometric_block_v14b,final_literal_block,negated_positive_support_clamp,reference_member_geometry_override,relation_supported_geometry_override,exact_reference_member,novel_numbers,novel_units,novel_entities,novel_content,clamp_summary,role_swapped_relation_clamp,known_participant_unsupported_relation_clamp,historical_date_relation_clamp,missed_predicate_relation_clamp,exp18_patch_clamp_on_exp16b,pred_hallucinated_exp19,safe_to_emit_exp19,hard_novelty_or_literal_support,guarded_known_participant_unsupported_relation_clamp,exp19b_guarded_patch_clamp,pred_hallucinated_exp19b,safe_to_emit_exp19b,changed_by_exp19b,prompt,expected_has_valid,pred_hallucinated_exp17,safe_to_emit_exp17,relation_clamp,geometry_override,num_relations_extracted,all_relations_supported,exp18_patch_clamp,pred_hallucinated_exp18,safe_to_emit_exp18
EXP16B_master_with_guarded_EXP18_patch,capital_italy_mixed,0,The capital of Italy is Milan.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.3311451077461242,0.1260182466357946,2.0,2.0,0.6311451077461243,0.0739117264747619,0.0173688400536775,0.0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,Milan,milan,copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,capital_italy_mixed,1,The capital of Italy is Rome.,0,0.0,1.0,0.0,TN_valid_kept,0.015758391469717,0.1260182466357946,0.0,3.0,0.015758391469717,0.0739117264747619,0.0173688400536775,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,capital_italy_mixed,2,Rome is Italy's capital city.,0,0.0,1.0,0.0,TN_valid_kept,0.0383808873593807,0.1260182466357946,0.0,4.0,0.0383808873593807,0.0739117264747619,0.0173688400536775,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,capital_italy_mixed,3,The capital of Italy is Turin.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4600981175899505,0.1260182466357946,2.0,2.0,0.7600981175899506,0.0739117264747619,0.0173688400536775,0.0,0,0,1,1,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,Turin,turin,copular_relation_clamp|entity_drift|protected_literal_drift,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,capital_italy_mixed,4,Italy's capital is Paris.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.4274821877479553,0.1260182466357946,0.5,2.0,0.5024821877479553,0.0739117264747619,0.0173688400536775,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,paris,none,0,0,0,0,0.0,1.0,0.0,1,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_mixed,0,The Sun is a planet.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.3138162791728973,0.5215609520673752,0.0,2.0,0.3138162791728973,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,0,0,0,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_mixed,1,The Sun is a star.,0,0.0,1.0,0.0,TN_valid_kept,0.10981035977602,0.5215609520673752,0.0,2.0,0.10981035977602,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_mixed,2,The Sun is the star at the center of the Solar System.,0,0.0,1.0,0.0,TN_valid_kept,0.2296066284179687,0.5215609520673752,0.0,5.0,0.2296066284179687,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,,none,0,0,0,0,0.0,0.0,1.0,0,0,0,0,1,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_mixed,3,The Sun is a galaxy.,1,1.0,0.0,0.0,TP_hallucination_blocked,0.4252818524837494,0.5215609520673752,0.5,1.0,0.5002818524837493,0.4231876730918884,0.0327910929918289,0.0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,galaxy,copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
EXP16B_master_with_guarded_EXP18_patch,sun_classification_mixed,4,The Sun is a black hole.,1,1.0,0.0,1.0,TP_hallucination_blocked,0.5819416642189026,0.5215609520673752,1.0,1.0,0.7319416642189026,0.4231876730918884,0.0327910929918289,0.045821726322174,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0,0.0,0,0,0.0,0,0,,,,"black,hole",content_token_clamp|copular_relation_clamp,0,1,0,0,1.0,1.0,0.0,1,1,1,1,0,0,,,,,,,,,,,
