case_id,candidate_index,text,label_hallucinated,old_pred_hallucinated_v8,new_pred_hallucinated_v9,old_final_geometric_block,final_geometric_block_v14b,exact_reference_member,hard_clamp_present,reference_member_geometry_override,mbt5_shock,threshold,literal_score
earth_shape_valid_paraphrases,0,Earth is approximately an oblate spheroid.,0,0,0,0,0,1,0,0,0.1051608175039291,0.8761832118034363,0.0
earth_shape_valid_paraphrases,1,Earth is roughly spherical and slightly flattened at the poles.,0,0,0,0,0,0,0,0,0.3887318074703216,0.8761832118034363,0.0
earth_shape_valid_paraphrases,2,Earth's shape is commonly described as an oblate spheroid.,0,0,0,0,0,1,0,0,0.1770950853824615,0.8761832118034363,0.0
earth_shape_valid_paraphrases,3,Earth is not a perfect sphere; it is slightly flattened at the poles.,0,0,0,0,0,1,0,0,0.4423277080059051,0.8761832118034363,0.0
earth_shape_valid_paraphrases,4,The planet Earth is roughly spherical with equatorial bulging.,0,0,0,0,0,1,0,0,0.3583780825138092,0.8761832118034363,0.0
gravity_valid_paraphrases,0,"Modern physics has useful descriptions of gravity, but no complete quantum theory is established.",0,0,0,0,0,0,0,0,0.2447728961706161,0.958626389503479,0.0
gravity_valid_paraphrases,1,Gravity can be modeled as Newtonian attraction between masses.,0,0,0,0,0,0,0,0,0.5307523012161255,0.958626389503479,0.5
gravity_valid_paraphrases,2,General relativity describes gravity using spacetime curvature associated with mass and energy.,0,0,0,0,0,0,0,0,0.5034885406494141,0.958626389503479,0.5
gravity_valid_paraphrases,3,A complete experimentally verified theory of quantum gravity is not established.,0,0,0,0,0,1,0,0,0.3330675661563873,0.958626389503479,0.0
gravity_valid_paraphrases,4,Current physics describes gravity through useful but incomplete models.,0,0,0,0,0,0,0,0,0.3701125383377075,0.958626389503479,1.5
photosynthesis_valid_paraphrases,0,Photosynthesis converts carbon dioxide and water into sugars and oxygen.,0,0,0,0,0,1,0,0,0.0616318546235561,0.588822215795517,0.0
photosynthesis_valid_paraphrases,1,Plants use photosynthesis to make sugars from carbon dioxide and water.,0,0,0,0,0,1,0,0,0.19723641872406,0.588822215795517,0.0
photosynthesis_valid_paraphrases,2,Photosynthesis releases oxygen and stores light energy.,0,0,0,0,0,0,0,0,0.220676451921463,0.588822215795517,0.0
photosynthesis_valid_paraphrases,3,Photosynthesis stores light energy in chemical form.,0,0,0,0,0,1,0,0,0.3150236010551452,0.588822215795517,0.0
photosynthesis_valid_paraphrases,4,Photosynthesis releases oxygen.,0,0,0,0,0,1,0,0,0.1871283650398254,0.588822215795517,0.0
orbit_valid_paraphrases,0,Earth orbits the Sun.,0,0,0,0,0,1,0,0,0.1184820383787155,0.7127331048250198,0.0
orbit_valid_paraphrases,1,The Moon orbits Earth.,0,0,0,0,0,1,0,0,0.1980994343757629,0.7127331048250198,0.0
orbit_valid_paraphrases,2,The Sun is orbited by Earth.,0,0,0,0,0,1,0,0,0.1870669722557068,0.7127331048250198,0.0
orbit_valid_paraphrases,3,The Moon is a natural satellite of Earth.,0,0,0,0,0,1,0,0,0.5630252957344055,0.7127331048250198,0.0
orbit_valid_paraphrases,4,Earth goes around the Sun.,0,0,0,0,0,0,0,0,0.3749982118606567,0.7127331048250198,0.5
dna_valid_paraphrases,0,Human cells contain DNA in the nucleus.,0,0,0,0,0,1,0,0,0.0651251524686813,0.4785757139325142,0.0
dna_valid_paraphrases,1,The nucleus contains most human cellular DNA.,0,0,0,0,0,1,0,0,0.0624954551458358,0.4785757139325142,0.0
