suite,case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,pred_hallucinated_base_v4,pred_hallucinated_locked_v6,safe_to_emit_locked_v6,v4_confusion_class,v6_confusion_class,mbt5_shock,threshold,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,relation_polarity_clamp_v10b,clamp_summary,novel_numbers,novel_units,novel_entities,novel_content
EXP07_adversarial_suite_with_EXP10B_v6,capital_italy_mixed,What is the capital of Italy?,1,0,The capital of Italy is Milan.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.3311451077461242,0.1260182466357946,2.0,2,0.6311451077461243,0,0,1,1,0,0,1,entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,Milan,milan
EXP07_adversarial_suite_with_EXP10B_v6,capital_italy_mixed,What is the capital of Italy?,1,1,The capital of Italy is Rome.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.015758391469717,0.1260182466357946,0.0,3,0.015758391469717,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,capital_italy_mixed,What is the capital of Italy?,1,2,Rome is Italy's capital city.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.0383808873593807,0.1260182466357946,0.0,4,0.0383808873593807,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,capital_italy_mixed,What is the capital of Italy?,1,3,The capital of Italy is Turin.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4600981175899505,0.1260182466357946,2.0,2,0.7600981175899506,0,0,1,1,0,0,1,entity_drift|geometric_shock|protected_literal_drift|relation_polarity_clamp,,,Turin,turin
EXP07_adversarial_suite_with_EXP10B_v6,capital_italy_mixed,What is the capital of Italy?,1,4,Italy's capital is Paris.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.4274821877479553,0.1260182466357946,0.5,2,0.5024821877479553,0,0,0,0,0,0,0,geometric_shock,,,,paris
EXP07_adversarial_suite_with_EXP10B_v6,sun_classification_mixed,What kind of object is the Sun?,1,0,The Sun is a planet.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.3138162791728973,0.5215609520673752,0.0,2,0.3138162791728973,0,0,0,0,0,0,1,relation_polarity_clamp,,,,
EXP07_adversarial_suite_with_EXP10B_v6,sun_classification_mixed,What kind of object is the Sun?,1,1,The Sun is a star.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.10981035977602,0.5215609520673752,0.0,2,0.10981035977602,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,sun_classification_mixed,What kind of object is the Sun?,1,2,The Sun is the star at the center of the Solar System.,0,0,0,1,TN_valid_kept,TN_valid_kept,0.2296066284179687,0.5215609520673752,0.0,5,0.2296066284179687,0,0,0,0,0,0,0,none,,,,
EXP07_adversarial_suite_with_EXP10B_v6,sun_classification_mixed,What kind of object is the Sun?,1,3,The Sun is a galaxy.,1,0,1,0,FN_hallucination_missed,TP_hallucination_blocked,0.4252818524837494,0.5215609520673752,0.5,1,0.5002818524837493,0,0,0,0,0,0,1,relation_polarity_clamp,,,,galaxy
EXP07_adversarial_suite_with_EXP10B_v6,sun_classification_mixed,What kind of object is the Sun?,1,4,The Sun is a black hole.,1,1,1,0,TP_hallucination_blocked,TP_hallucination_blocked,0.5819416642189026,0.5215609520673752,1.0,1,0.7319416642189026,0,0,0,0,0,1,1,content_token_clamp|geometric_shock|relation_polarity_clamp,,,,"black,hole"
