case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,pred_hallucinated_exp17,safe_to_emit_exp17,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,protected_number,protected_unit,protected_entity,protected_literal_drift,content_clamp_flag,relation_clamp,relation_supported_geometry_override,negated_positive_support_clamp,overclaim_flag,final_geometric_block,final_literal_block,geometry_override,exact_reference_member,num_relations_extracted,all_relations_supported,novel_numbers,novel_units,novel_entities,novel_content,historical_date_relation_clamp,missed_predicate_relation_clamp,role_swapped_relation_clamp,known_participant_unsupported_relation_clamp,exp18_patch_clamp,pred_hallucinated_exp18,safe_to_emit_exp18
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,0,Mercury orbits Earth.,1,1,0,0.3106209933757782,0.6711928546458681,0.3693558275699615,0.1006123423586355,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,1,Mercury orbits the Sun.,0,0,1,0.1838479042053222,0.6711928546458681,0.3693558275699615,0.1006123423586355,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,2,Venus orbits the Sun.,0,0,1,0.2112141698598861,0.6711928546458681,0.3693558275699615,0.1006123423586355,0.0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,,,,,0,0,0,0,0,0,1
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,3,The Sun orbits Mercury.,1,0,1,0.1630483865737915,0.6711928546458681,0.3693558275699615,0.1006123423586355,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,,,0,0,1,1,1,1,0
mercury_venus_orbit_mixed,Check Mercury and Venus orbit relations.,1,4,The Moon orbits Venus.,1,1,0,0.32601198554039,0.6711928546458681,0.3693558275699615,0.1006123423586355,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,,0,0,0,1,1,1,0
blood_oxygen_transport_mixed,Check blood oxygen transport relations.,1,0,Blood carries oxygen using hemoglobin.,0,0,1,0.3337147235870361,0.9449962079554994,0.696430891752243,0.0828551054010854,1.5,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,,,blood,,0,0,0,0,0,0,1
blood_oxygen_transport_mixed,Check blood oxygen transport relations.,1,1,The lungs oxygenate blood.,0,0,1,0.2000017613172531,0.9449962079554994,0.696430891752243,0.0828551054010854,0.5,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,,,,oxygenate,0,0,0,0,0,0,1
blood_oxygen_transport_mixed,Check blood oxygen transport relations.,1,2,The stomach oxygenates blood.,1,1,0,0.5442219972610474,0.9449962079554994,0.696430891752243,0.0828551054010854,1.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,"oxygenat,stomach",0,0,0,1,1,1,0
blood_oxygen_transport_mixed,Check blood oxygen transport relations.,1,3,The heart pumps air through the body.,1,1,0,0.523209273815155,0.9449962079554994,0.696430891752243,0.0828551054010854,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,,air,0,0,0,1,1,1,0
blood_oxygen_transport_mixed,Check blood oxygen transport relations.,1,4,Hemoglobin carries plastic.,1,1,0,0.8861086964607239,0.9449962079554994,0.696430891752243,0.0828551054010854,2.0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,0,,,hemoglobin,plastic,0,0,0,1,1,1,0
