case_id,prompt,expected_has_valid,candidate_index,text,label_hallucinated,mbt5_shock,threshold,anchor_median,anchor_mad,literal_score,reference_overlap,regulator_score,protected_number,protected_unit,protected_entity,protected_literal_drift,overclaim_flag,content_clamp_flag,max_unsupported_token_shock,literal_only_block,guarded_paraphrase_tolerated,pred_hallucinated_v4,safe_to_emit_v4,novel_numbers,novel_units,novel_entities,novel_content,novel_content_count,relation_polarity_clamp_v10b,pred_hallucinated_v6_exp10b,safe_to_emit_v6
capital_italy_mixed,What is the capital of Italy?,1,0,The capital of Italy is Milan.,1,0.3311451077461242,0.1260182466357946,0.0739117264747619,0.0173688400536775,2.0,2,0.6311451077461243,0,0,1,1,0,0,0.0,0,0,1,0,,,Milan,milan,1,1,1,0
capital_italy_mixed,What is the capital of Italy?,1,1,The capital of Italy is Rome.,0,0.015758391469717,0.1260182466357946,0.0739117264747619,0.0173688400536775,0.0,3,0.015758391469717,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
capital_italy_mixed,What is the capital of Italy?,1,2,Rome is Italy's capital city.,0,0.0383808873593807,0.1260182466357946,0.0739117264747619,0.0173688400536775,0.0,4,0.0383808873593807,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
capital_italy_mixed,What is the capital of Italy?,1,3,The capital of Italy is Turin.,1,0.4600981175899505,0.1260182466357946,0.0739117264747619,0.0173688400536775,2.0,2,0.7600981175899506,0,0,1,1,0,0,0.0,0,0,1,0,,,Turin,turin,1,1,1,0
capital_italy_mixed,What is the capital of Italy?,1,4,Italy's capital is Paris.,1,0.4274821877479553,0.1260182466357946,0.0739117264747619,0.0173688400536775,0.5,2,0.5024821877479553,0,0,0,0,0,0,0.0,0,0,1,0,,,,paris,1,0,1,0
sun_classification_mixed,What kind of object is the Sun?,1,0,The Sun is a planet.,1,0.3138162791728973,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.0,2,0.3138162791728973,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,1,1,0
sun_classification_mixed,What kind of object is the Sun?,1,1,The Sun is a star.,0,0.10981035977602,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.0,2,0.10981035977602,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
sun_classification_mixed,What kind of object is the Sun?,1,2,The Sun is the star at the center of the Solar System.,0,0.2296066284179687,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.0,5,0.2296066284179687,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
sun_classification_mixed,What kind of object is the Sun?,1,3,The Sun is a galaxy.,1,0.4252818524837494,0.5215609520673752,0.4231876730918884,0.0327910929918289,0.5,1,0.5002818524837493,0,0,0,0,0,0,0.0,0,0,0,1,,,,galaxy,1,1,1,0
sun_classification_mixed,What kind of object is the Sun?,1,4,The Sun is a black hole.,1,0.5819416642189026,0.5215609520673752,0.4231876730918884,0.0327910929918289,1.0,1,0.7319416642189026,0,0,0,0,0,1,0.045821726322174,0,0,1,0,,,,"black,hole",2,1,1,0
mars_moons_mixed,How many moons does Mars have?,1,0,"Mars has one moon, Phobos.",1,0.277057409286499,0.140945678576827,0.0847465991973877,0.0187330264598131,1.0,2,0.427057409286499,0,0,0,0,0,0,0.0,0,0,1,0,,,,"moon,one",2,0,1,0
mars_moons_mixed,How many moons does Mars have?,1,1,"Mars has two moons, Phobos and Deimos.",0,0.0449438393115997,0.140945678576827,0.0847465991973877,0.0187330264598131,0.0,5,0.0449438393115997,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
mars_moons_mixed,How many moons does Mars have?,1,2,The moons of Mars are Phobos and Deimos.,0,0.0510710217058658,0.140945678576827,0.0847465991973877,0.0187330264598131,0.0,4,0.0510710217058658,0,0,0,0,0,0,0.0,0,0,0,1,,,,,0,0,0,1
mars_moons_mixed,How many moons does Mars have?,1,3,Mars has three moons.,1,0.5258126258850098,0.140945678576827,0.0847465991973877,0.0187330264598131,0.5,2,0.6008126258850097,0,0,0,0,0,0,0.0,0,0,1,0,,,,three,1,0,1,0
mars_moons_mixed,How many moons does Mars have?,1,4,"Mars has two moons, Luna and Titan.",1,0.5943159461021423,0.140945678576827,0.0847465991973877,0.0187330264598131,4.0,3,1.1943159461021424,0,0,1,1,0,1,0.052310824394226,0,0,1,0,,,"Luna,Titan","luna,titan",2,0,1,0
gravity_quantum_mixed,Describe gravity without overclaiming.,1,0,Gravity is fully solved by modern physics.,1,0.4879266023635864,0.958626389503479,0.7775291800498962,0.0603657364845275,1.0,3,0.6379266023635864,0,0,0,0,1,0,0.0151875615119934,1,0,1,0,,,,"fully,solved",2,0,1,0
gravity_quantum_mixed,Describe gravity without overclaiming.,1,1,Gravity can be described by Newtonian attraction and by spacetime curvature in general relativity.,0,0.402241438627243,0.958626389503479,0.7775291800498962,0.0603657364845275,0.5,6,0.477241438627243,0,0,0,0,0,0,0.0,0,0,0,1,,,,attraction,1,0,0,1
